"id","source_filename","public_filename","public_path"
"all_fours","pose_all_fours_001.webp","pose-all-fours.webp","/assets/dictionary/pose/female/pose-all-fours.webp"
"arched_back","pose_arched_back.webp","pose-arched-back.webp","/assets/dictionary/pose/female/pose-arched-back.webp"
"arm_behind_back","pose_retake_auto_arm_behind_back_002.webp","pose-arm-behind-back.webp","/assets/dictionary/pose/female/pose-arm-behind-back.webp"
"arm_behind_head","pose_arm_behind_head_003.webp","pose-arm-behind-head.webp","/assets/dictionary/pose/female/pose-arm-behind-head.webp"
"arm_support","pose_arm_support_001.webp","pose-arm-support.webp","/assets/dictionary/pose/female/pose-arm-support.webp"
"arm_up","pose_arm_up.webp","pose-arm-up.webp","/assets/dictionary/pose/female/pose-arm-up.webp"
"arms_at_sides","pose_arms_at_sides_003.webp","pose-arms-at-sides.webp","/assets/dictionary/pose/female/pose-arms-at-sides.webp"
"arms_behind_back","pose_arms_behind_back_002.webp","pose-arms-behind-back.webp","/assets/dictionary/pose/female/pose-arms-behind-back.webp"
"arms_behind_head","pose_arms_behind_head_004.webp","pose-arms-behind-head.webp","/assets/dictionary/pose/female/pose-arms-behind-head.webp"
"arms_up","pose_arms_up.webp","pose-arms-up.webp","/assets/dictionary/pose/female/pose-arms-up.webp"
"beckoning","pose_beckoning.webp","pose-beckoning.webp","/assets/dictionary/pose/female/pose-beckoning.webp"
"bent_knees","pose_bent_knees_004.webp","pose-bent-knees.webp","/assets/dictionary/pose/female/pose-bent-knees.webp"
"bent_over","pose_bent_over_004.webp","pose-bent-over.webp","/assets/dictionary/pose/female/pose-bent-over.webp"
"biting_finger","pose_biting_finger_002.webp","pose-biting-finger.webp","/assets/dictionary/pose/female/pose-biting-finger.webp"
"blowing_kiss","pose_blowing_kiss.webp","pose-blowing-kiss.webp","/assets/dictionary/pose/female/pose-blowing-kiss.webp"
"clutching_chest","pose_clutching_chest_003.webp","pose-clutching-chest.webp","/assets/dictionary/pose/female/pose-clutching-chest.webp"
"contrapposto","pose_contrapposto_004.webp","pose-contrapposto.webp","/assets/dictionary/pose/female/pose-contrapposto.webp"
